Institution,ImageCount,LinkCount,FormCount,StylesheetCount,ScriptCount,CertificateInfo,HostInfo,Title,Description
University of Wisconsin-Stout,14,224,5,3,9,N/A,N/A,N/A,N/A
Anoka-Ramsey Community College,17,172,1,4,6,N/A,N/A,N/A,Anoka-Ramsey Community College is a multi-campus institution and a member of the Minnesota State Colleges and Universities system.
Bemidji State University,12,73,2,4,6,N/A,N/A,N/A,Bemidji State University offers an immersive education that goes beyond the classroom. Build your career with our 70+ undergrad programs and 8 grad degrees.
Gustavus Adolphus College,23,69,1,9,1,N/A,N/A,Gustavus Adolphus College,"Gustavus Adolphus College is a church-related, residential liberal arts college firmly rooted in its Swedish and Lutheran heritage."
Hamline University,8,206,1,5,4,N/A,N/A,N/A,"As Minnesota's first university, Hamline, a private liberal arts university in the Twin Cities, prepares undergraduate and graduate students for successful careers."
Hennepin Technical College,15,295,1,13,35,N/A,N/A,N/A,"Unlock your future with affordable tuition and high-wage, high-demand career training. Enroll today!"
Minnesota State University-Mankato,20,144,2,6,9,N/A,N/A,N/A,"Your big ideas can become reality at Minnesota State Mankato, where you will find comprehensive support services, a wide variety of majors to explore and opportunities to excel in and out of the classroom."
Minnesota State University-Moorhead,5,223,1,5,13,N/A,N/A,N/A,"You'll receive an exceptional education at an unrivaled value from Minnesota State University Moorhead, a public university in northwest Minnesota. When you're among Dragons, you'll find the courage and drive to achieve your highest potential."
Normandale Community College,78,146,1,13,14,N/A,N/A,N/A,N/A
North Hennepin Community College,12,108,0,2,10,N/A,N/A,N/A,"Since 1966, North Hennepin Community College in Minnesota has been dedicated to creating acedemic opportunities for students, because education changes lives."
Saint Cloud State University,19,52,1,1,8,N/A,N/A,N/A,"St. Cloud State is a leading comprehensive public university in the Upper Midwest of the United States, delivering active and applied learning via direct access to professors, local businesses and industry leaders. More than 16,400 students and more than 109,000 alumni call themselves Huskies. Alumni and friends worldwide follow NCAA Division I and Division II Husky Athletics. Founded in 1869, St. Cloud State is located on the banks of the Mississippi River in St. Cloud, Minnesota."
Southwest Minnesota State University,23,173,2,14,9,N/A,N/A,N/A,Southwest Minnesota State University is a four-year public university offering a high quality education in the liberal arts and professions to prepare you for a life that is successful both personally and professionally.
University of Minnesota-Crookston,13,358,1,4,8,N/A,N/A,N/A,N/A
University of Minnesota-Duluth,17,66,1,3,4,N/A,N/A,N/A,"The University of Minnesota Duluth Homepage: an overview of academic programs, campus life, resources, news and events, with extensive links to other web sites located throughout the University."
University of Minnesota-Morris,10,226,0,5,8,N/A,N/A,N/A,"We’re a student-centered public university that is proud to feature a liberal arts education. As part of the University of Minnesota System, we have worldwide name recognition, access to state-of-the-art research facilities, and nationally ranked study abroad programs."
University of Minnesota-Rochester,9,114,0,33,24,N/A,N/A,N/A,N/A
University of Minnesota-Twin Cities,12,90,2,6,32,N/A,N/A,N/A,"The University of Minnesota, Twin Cities is among the nation’s top public research universities offering a wide range of undergraduate and graduate programs."
Winona State University,10,189,3,5,3,N/A,N/A,N/A,N/A
College of DuPage,28,169,2,5,17,N/A,N/A,N/A,N/A
DePaul University,5,162,1,12,26,N/A,N/A,N/A,N/A
Eastern Illinois University,26,143,1,4,4,N/A,N/A,N/A,N/A
Elgin Community College,14,112,0,4,13,N/A,N/A,N/A,"At Elgin Community College, we commit to student success and empower students to reach their full potential through our dedicated faculty and programs."
Illinois Institute of Technology,25,124,1,4,4,N/A,N/A,N/A,"Ranked among the best in the U.S., Illinois Tech empowers students with hands-on learning, diverse programs, and a high career-placement rate. Elevate your"
Illinois State University,17,139,1,3,3,N/A,N/A,N/A,"Founded in 1857,  Illinois State University is a top ranked public university in the town of Normal. Explore ISU's 200+ programs and the Redbird community."
Loyola University Chicago,10,197,2,10,10,N/A,N/A,N/A,We are Chicago's Jesuit Catholic University. We are guided by a simple promise: to prepare people to lead extraordinary lives.
McHenry County College,20,138,1,9,27,N/A,N/A,N/A,"MCC serves the community with traditional credit courses, community enrichment programs, workforce training, and professional education"
Northern Illinois University,13,179,3,7,10,N/A,N/A,N/A,"An education at NIU is more than just an academic degree. NIU opens the doors to career success, critical thinking, and lifelong learning. Find out how to apply today. "
Northeastern Illinois University,71,252,0,6,4,N/A,N/A,N/A,Northeastern Illinois University offers undergraduate and graduate programs at various locations in the Chicago area. Find out more now.
Northwestern University,16,188,2,2,5,N/A,N/A,N/A,"Northwestern is one of the countryâs leading private research and teaching universities, located in Evanston, IL. Our highly collaborative environment provides our diverse students and faculty with exceptional opportunities for personal and professional growth."
Oakton Community College,25,142,1,4,15,N/A,N/A,N/A,"Discover classes at Oakton College, a leading community college in Illinois. Find college courses near you and access online degrees and certificates."
Rock Valley College,27,293,2,9,8,N/A,N/A,N/A,N/A
Southern Illinois University-Edwardsville,34,171,0,4,2,N/A,N/A,N/A,"SIUE is a nationally recognized university that provides students with a high-quality, affordable education that prepares them for successful careers and lives of purpose to shape a changing world. Built on the foundation of a broad-based, high-quality education, and enhanced by hands-on research and real-world experiences, the academic preparation SIUE students receive equips them to thrive in the global marketplace and make our communities better places to live."
University of Chicago,3,37,0,17,4,N/A,N/A,N/A,"One of the world’s leading research universities, the University of Chicago inspires scholars to pursue field-defining research, while providing a transformative education for students."
University of Illinois Urbana-Champaign,12,176,1,3,15,N/A,N/A,N/A,"Information for students, alumni, and parents from Illinois flagship public university, a world leader in research, teaching, and public engagement."
University of Illinois-Springfield,38,405,1,12,7,N/A,N/A,N/A,"Welcome to the University of Illinois Springfield (UIS), a top-tier public university offering innovative academic programs, vibrant campus life, and a supportive community. Explore our comprehensive undergraduate and graduate degrees, cutting-edge research opportunities, and diverse extracurricular activities designed to foster personal and professional growth. Join us at UIS and discover a world of possibilities."
Western Illinois University,20,129,1,13,8,N/A,N/A,N/A,Western Illinois University students have the advantages of large universities - accomplished faculty; modern technologies and facilities; and broad academic and extracurricular opportunities. We give you the extras that larger public universities can't - personalized attention from our faculty and staff.
Central Michigan University,22,160,1,6,15,N/A,N/A,N/A,"CMU is a public research university in Michigan that offers degree programs in Mount Pleasant, online and locations across North America. Est. 1892."
Ferris State University,10,160,1,10,15,N/A,N/A,N/A,N/A
Grand Valley State University,11,72,1,1,0,N/A,N/A,N/A,"At Grand Valley State University, we empower learners in their pursuits, professions, and purpose. The university enriches society through excellent teaching, active scholarship, advancement of equity, and public service."
Kalamazoo College,7,166,1,20,23,N/A,N/A,N/A,N/A
Kellogg Community College,22,144,8,10,24,N/A,N/A,N/A,N/A
Lake Superior State University,144,591,5,13,1,N/A,N/A,N/A,"We equip our graduates with the knowledge, practical skills, and inner strength to craft a life of meaningful employment, personal fulfillment, and generosity of self within an inclusive atmosphere, all while enhancing the quality of life of the Great Lakes region and the world."
Michigan State University,31,245,2,2,17,N/A,N/A,N/A,Spartan excellence and our will to make a difference are making a better tomorrow for all. 
Michigan Technological University,22,231,3,4,4,N/A,N/A,N/A,Michigan Technological University is a flagship public research university founded in 1885. Our campus in Michigan's Upper Peninsula overlooks the Keweenaw Waterway and is just a few miles from Lake Superior. Learn more about our degree programs.
Northern Michigan University,16,116,1,2,8,N/A,N/A,N/A,"Choose from one of our 170+ educational programs and let your adventure begin at NMU. With 30+ online and campus-based programs to choose from, Northern's graduate education can help you get to the next level in your professional career. You have accomplished so much already, but now it's time to really immerse yourself in your academic passion.    Your education is ready when and where you want it."
Oakland University,14,194,1,13,19,N/A,N/A,N/A,N/A
Saginaw Valley State University,16,231,0,5,10,N/A,N/A,N/A,Saginaw Valley State University - One of Michigan's Most Affordable Universities
University of Detroit Mercy,12,84,1,6,15,N/A,N/A,N/A,Earn your degree at a school that offers true value and hands-on learning opportunities. Prepare to excel in a rewarding career. Apply today!
University of Michigan-Ann Arbor,38,79,1,7,9,N/A,N/A,N/A,"A top-ranked public university, the University of Michigan has a tradition of excellence in research, learning and teaching, sports and the arts, and more."
University of Michigan-Dearborn,13,99,3,28,32,N/A,N/A,N/A,N/A
University of Michigan-Flint,21,99,2,27,95,N/A,N/A,N/A,N/A
Wayne State University,29,98,1,2,1,N/A,N/A,N/A,N/A
Western Michigan University,14,82,2,5,7,N/A,N/A,N/A,Western Michigan University is about more than book smarts. It’s about your potential and your pursuit of purpose.
Washtenaw Community College,21,87,2,11,21,N/A,N/A,N/A,N/A
Briar Cliff University,1,300,1,4,0,N/A,N/A,Briar Cliff University,"The lifelong learning place, preparing ethical world changers."
Central College,6,257,2,9,6,N/A,N/A,N/A,"Central College in Pella, Iowa - Founded in 1853"
Cornell College,0,0,0,0,0,N/A,N/A,N/A,N/A
Des Moines Area Community College,12,117,1,20,16,N/A,N/A,N/A,N/A
Dordt University,68,169,1,2,3,N/A,N/A,N/A,"Dordt University is a Christian college located in Sioux Center, Iowa, offering 40+ degrees and ranked #1 for student engagement by the WSJ."
Graceland University,295,280,3,0,11,N/A,N/A,N/A,"With over 35 areas of study, you'll be sure to find a direction that’s right for your future in one of our in-person or online programs."
Grand View University,0,533,1,2,1,N/A,N/A,Discover the Viking Experience | Grand View University,"As a small private university in Des Moines, Iowa, we empower students with more than 40 programs of study and our affordable, hands-on learning."
Iowa Central Community College,31,158,1,4,8,N/A,N/A,N/A,"Iowa Central Community College is located in Fort Dodge, IA. With over 100 programs to choose from we're an affordable alternative to a 4 year university at a fraction of the cost."
Iowa State University,26,123,2,7,6,N/A,N/A,N/A,N/A
Loras College,7,117,1,47,21,N/A,N/A,N/A,"Loras, a Catholic liberal arts college in Iowa, has a community of active learners, reflective thinkers, ethical decision-makers, and responsible contributors."
Mount Mercy University,10,112,2,7,12,N/A,N/A,N/A,"Our vibrant Catholic, Mercy university focuses on preparing our students to meet the needs of a changing world and live courageous lives. A welcoming, supportive environment empowers every student to realize their full potential."
Simpson College,20,110,1,5,6,N/A,N/A,N/A,N/A
University of Iowa,11,84,1,27,10,N/A,N/A,N/A,"Join a global community of renowned artists, pioneering scientists, and faculty dedicated to student success at the University of Iowa."
University of Northern Iowa,17,458,2,4,6,N/A,N/A,N/A,"The University of Northern Iowa is a top public university in Cedar Falls, Iowa, offering undergraduate and graduate degrees in business, health, education, technology, science, and art."
Western Iowa Tech Community College,5,130,1,12,15,N/A,N/A,N/A,
