Institution,Website,Category,State,City,ImageCount,LinkCount,FormCount,StylesheetCount,ScriptCount,CertificateInfo,HostInfo,Title,Description
Grand View University,https://www.grandview.edu/,College,IA,Des Moines,0,533,1,2,1,,,Discover the Viking Experience | Grand View University,"As a small private university in Des Moines, Iowa, we empower students with more than 40 programs of study and our affordable, hands-on learning."
Gustavus Adolphus College,https://gustavus.edu/,College,MN,St. Peter,23,69,1,9,1,,,Gustavus Adolphus College,"Gustavus Adolphus College is a church-related, residential liberal arts college firmly rooted in its Swedish and Lutheran heritage."
Hamline University,https://www.hamline.edu/,College,MN,St. Paul,8,206,1,5,4,,,,"As Minnesota's first university, Hamline, a private liberal arts university in the Twin Cities, prepares undergraduate and graduate students for successful careers."
Hennepin Technical College,https://www.hennepintech.edu/,College,MN,Brooklyn Park,15,295,1,13,35,,,,"Unlock your future with affordable tuition and high-wage, high-demand career training. Enroll today!
"
Illinois Institute of Technology,https://www.iit.edu/,College,IL,Chicago,25,124,1,4,4,,,,"Ranked among the best in the U.S., Illinois Tech empowers students with hands-on learning, diverse programs, and a high career-placement rate. Elevate your"
Illinois State University,https://illinoisstate.edu/,College,IL,Normal,17,141,1,3,5,,,,"Founded in 1857,  Illinois State University is a top ranked public university in the town of Normal. Explore ISU's 200+ programs and the Redbird community."
Iowa Central Community College,https://www.iowacentral.edu/,College,IA,Fort Dodge,31,158,1,4,8,,,,"Iowa Central Community College is located in Fort Dodge, IA. With over 100 programs to choose from we're an affordable alternative to a 4 year university at a fraction of the cost."
Iowa State University,https://www.iastate.edu/,College,IA,Ames,26,124,2,7,6,,,,
Kalamazoo College,https://www.kzoo.edu/,College,MI,Kalamazoo,7,166,1,20,23,,,,
Kellogg Community College,https://www.kellogg.edu/,College,MI,Battle Creek,21,138,8,10,24,,,,
Lake Superior State University,https://www.lssu.edu/,College,MI,Sault Ste. Marie,144,591,5,13,1,,,,"We equip our graduates with the knowledge, practical skills, and inner strength to craft a life of meaningful employment, personal fulfillment, and generosity of self within an inclusive atmosphere, all while enhancing the quality of life of the Great Lakes region and the world."
Lakeshore Technical College,https://gotoltc.edu/,College,WI,Cleveland,22,113,0,4,25,,,,Welcome to Lakeshore College. We now offer Associates of Science and Associates of Art degrees. Save money and get your General Education credits before attending a 4-year college.
Loras College,https://www.loras.edu/,College,IA,Dubuque,7,117,1,47,21,,,,"Loras, a Catholic liberal arts college in Iowa, has a community of active learners, reflective thinkers, ethical decision-makers, and responsible contributors."
Loyola University Chicago,https://www.luc.edu/,College,IL,Chicago,10,197,2,10,10,,,,We are Chicago's Jesuit Catholic University. We are guided by a simple promise: to prepare people to lead extraordinary lives.
Madison College,https://madisoncollege.edu/,College,WI,Madison,20,181,2,2,12,,,,"Madison College provides top, hands-on training in 190+ degree and certificate programs at 7 local campuses with online, accelerated and part-time options. Consider dozens of direct college transfer options. Or simply take a class for fun!"
McHenry County College,https://www.mchenry.edu/,College,IL,Mchenry,20,138,1,9,27,,,,"MCC serves the community with traditional credit courses, community enrichment programs, workforce training, and professional education"
Michigan State University,https://www.msu.edu/,College,MI,East Lansing,31,245,2,2,17,,,,Spartan excellence and our will to make a difference are making a better tomorrow for all. 
Michigan Technological University,https://www.mtu.edu/,College,MI,Houghton,22,231,3,4,4,,,,Michigan Technological University is a flagship public research university founded in 1885. Our campus in Michigan's Upper Peninsula overlooks the Keweenaw Waterway and is just a few miles from Lake Superior. Learn more about our degree programs.
Mid-State Technical College,https://www.mstc.edu/,College,WI,Stevens Point,145,582,2,3,5,,,,
Minnesota State University-Mankato,https://mnsu.edu/,College,MN,Mankato,20,142,2,6,9,,,,"Your big ideas can become reality at Minnesota State Mankato, where you will find comprehensive support services, a wide variety of majors to explore and opportunities to excel in and out of the classroom."
Minnesota State University-Moorhead,https://www.mnstate.edu/,College,MN,Moorhead,5,223,1,5,13,,,,"You'll receive an exceptional education at an unrivaled value from Minnesota State University Moorhead, a public university in northwest Minnesota. When you're among Dragons, you'll find the courage and drive to achieve your highest potential."
Moraine Park Technical College,https://www.morainepark.edu/,College,WI,West Bend,39,119,2,18,18,,,,"Whether you’re looking to fulfill childhood career dreams or you’re just starting to explore, Moraine Park provides you with the skills to succeed."
Mount Mercy University,https://www.mtmercy.edu/,College,IA,Cedar Rapids,10,112,2,7,12,,,,"Our vibrant Catholic, Mercy university focuses on preparing our students to meet the needs of a changing world and live courageous lives. A welcoming, supportive environment empowers every student to realize their full potential."
Normandale Community College,https://www.normandale.edu/,College,MN,Bloomington,78,146,1,13,14,,,,
North Hennepin Community College,https://www.nhcc.edu/,College,MN,Brooklyn Park,13,109,0,2,10,,,,"Since 1966, North Hennepin Community College in Minnesota has been dedicated to creating acedemic opportunities for students, because education changes lives."
Northcentral Technical College,https://www.ntc.edu/,College,WI,Wausau,10,72,2,4,7,,,,"190+ accredited associate degree, technical diploma, or certificate options available. NTC has six campuses and offers online college programs and courses."
Northeast Wisconsin Technical College,https://www.nwtc.edu/,College,WI,Green Bay,13,145,3,7,6,,,,"Northeast Wisconsin Technical College is a nationally-ranked, 2-year public college where students prepare for high-tech careers and begin bachelor’s degrees."
Northeastern Illinois University,https://www.neiu.edu/,College,IL,Chicago,71,252,0,6,4,,,,Northeastern Illinois University offers undergraduate and graduate programs at various locations in the Chicago area. Find out more now.
Northern Illinois University,https://www.niu.edu/,College,IL,DeKalb,13,179,3,7,10,,,,"An education at NIU is more than just an academic degree. NIU opens the doors to career success, critical thinking, and lifelong learning. Find out how to apply today. "
Northern Michigan University,https://www.nmu.edu/,College,MI,Marquette,14,114,1,2,8,,,,"Choose from one of our 170+ educational programs and let your adventure begin at NMU. With 30+ online and campus-based programs to choose from, Northern's graduate education can help you get to the next level in your professional career. You have accomplished so much already, but now it's time to really immerse yourself in your academic passion.    Your education is ready when and where you want it."
Northwestern University,https://www.northwestern.edu/,College,IL,Evanston,16,188,2,2,5,,,,"Northwestern is one of the countryâs leading private research and teaching universities, located in Evanston, IL. Our highly collaborative environment provides our diverse students and faculty with exceptional opportunities for personal and professional growth."
Oakland University,https://www.oakland.edu/,College,MI,Rochester,14,194,1,13,19,,,,
Oakton Community College,https://www.oakton.edu/,College,IL,Des Plaines,25,142,1,4,15,,,,"Discover classes at Oakton College, a leading community college in Illinois. Find college courses near you and access online degrees and certificates."
Rock Valley College,https://www.rockvalleycollege.edu/,College,IL,Rockford,27,293,2,9,8,,,,
Saginaw Valley State University,https://www.svsu.edu/,College,MI,University Center,16,231,0,5,10,,,,Saginaw Valley State University - One of Michigan's Most Affordable Universities
Saint Cloud State University,https://www.stcloudstate.edu/,College,MN,St. Cloud,19,52,1,1,8,,,,"St. Cloud State is a leading comprehensive public university in the Upper Midwest of the United States, delivering active and applied learning via direct access to professors, local businesses and industry leaders. More than 16,400 students and more than 109,000 alumni call themselves Huskies. Alumni and friends worldwide follow NCAA Division I and Division II Husky Athletics. Founded in 1869, St. Cloud State is located on the banks of the Mississippi River in St. Cloud, Minnesota."
Simpson College,https://www.simpson.edu/,College,IA,Indianola,20,110,1,5,6,,,,
Southern Illinois University-Edwardsville,https://www.siue.edu/,College,IL,Edwardsville,34,171,0,4,2,,,,"SIUE is a nationally recognized university that provides students with a high-quality, affordable education that prepares them for successful careers and lives of purpose to shape a changing world. Built on the foundation of a broad-based, high-quality education, and enhanced by hands-on research and real-world experiences, the academic preparation SIUE students receive equips them to thrive in the global marketplace and make our communities better places to live."
Southwest Minnesota State University,https://www.smsu.edu/,College,MN,Marshall,23,173,2,14,9,,,,Southwest Minnesota State University is a four-year public university offering a high quality education in the liberal arts and professions to prepare you for a life that is successful both personally and professionally.
University of Chicago,https://www.uchicago.edu/,College,IL,Chicago,3,37,0,17,4,,,,"One of the world’s leading research universities, the University of Chicago inspires scholars to pursue field-defining research, while providing a transformative education for students."
University of Detroit Mercy,https://www.udmercy.edu/,College,MI,Detroit,12,84,1,6,15,,,,Earn your degree at a school that offers true value and hands-on learning opportunities. Prepare to excel in a rewarding career. Apply today!
University of Illinois Urbana-Champaign,https://illinois.edu/,College,IL,Urbana,12,176,1,3,15,,,,"Information for students, alumni, and parents from Illinois flagship public university, a world leader in research, teaching, and public engagement."
University of Illinois-Springfield,https://www.uis.edu/,College,IL,Springfield,38,405,1,12,7,,,,"Welcome to the University of Illinois Springfield (UIS), a top-tier public university offering innovative academic programs, vibrant campus life, and a supportive community. Explore our comprehensive undergraduate and graduate degrees, cutting-edge research opportunities, and diverse extracurricular activities designed to foster personal and professional growth. Join us at UIS and discover a world of possibilities."
University of Iowa,https://uiowa.edu/,College,IA,Iowa City,11,84,1,27,10,,,,"Join a global community of renowned artists, pioneering scientists, and faculty dedicated to student success at the University of Iowa."
University of Michigan-Ann Arbor,https://umich.edu/,College,MI,Ann Arbor,38,83,1,7,9,,,,"A top-ranked public university, the University of Michigan has a tradition of excellence in research, learning and teaching, sports and the arts, and more."
University of Michigan-Dearborn,https://umdearborn.edu/,College,MI,Dearborn,13,99,3,28,32,,,,
University of Michigan-Flint,https://www.umflint.edu/,College,MI,Flint,21,99,2,26,96,,,,
University of Minnesota-Crookston,https://www.crk.umn.edu/,College,MN,Crookston,13,358,1,4,8,,,,
University of Minnesota-Duluth,https://www.d.umn.edu/,College,MN,Duluth,17,66,1,3,4,,,,"The University of Minnesota Duluth Homepage: an overview of academic programs, campus life, resources, news and events, with extensive links to other web sites located throughout the University."
University of Minnesota-Morris,https://www.morris.umn.edu/,College,MN,Morris,10,226,0,5,8,,,,"We’re a student-centered public university that is proud to feature a liberal arts education. As part of the University of Minnesota System, we have worldwide name recognition, access to state-of-the-art research facilities, and nationally ranked study abroad programs."
University of Minnesota-Rochester,https://r.umn.edu/,College,MN,Rochester,9,114,0,33,24,,,,
University of Minnesota-Twin Cities,https://twin-cities.umn.edu/,College,MN,Twin Cities,12,90,2,6,32,,,,"The University of Minnesota, Twin Cities is among the nation’s top public research universities offering a wide range of undergraduate and graduate programs."
University of Northern Iowa,https://www.uni.edu/,College,IA,Cedar Falls,17,458,2,4,6,,,,"The University of Northern Iowa is a top public university in Cedar Falls, Iowa, offering undergraduate and graduate degrees in business, health, education, technology, science, and art."
University of Wisconsin-Eau Claire,https://www.uwec.edu/,College,WI,Eau Claire,25,102,1,6,10,,,,
University of Wisconsin-Green Bay,https://www.uwgb.edu/,College,WI,Green Bay,12,309,1,1,6,,,,
University of Wisconsin-La Crosse,https://www.uwlax.edu/,College,WI,La Crosse,37,199,1,7,8,,,,"Explore UW-La Crosse. UWL is Wisconsin’s top-ranked public university among peers, according to U.S. News & World Report’s Best Colleges list."
University of Wisconsin-Madison,https://www.wisc.edu/,College,WI,Madison,12,85,2,4,5,,,,"The University of Wisconsin is a top-ranked research institution located in Madison, Wisconsin, providing exceptional education opportunities to undergraduates, graduate and professional students."
University of Wisconsin-Oshkosh,https://www.uwosh.edu/,College,WI,Oshkosh,5,79,0,13,6,,,,
University of Wisconsin-Parkside,https://www.uwp.edu/,College,WI,Kenosha,31,243,2,2,7,,,,
University of Wisconsin-Platteville,https://www.uwplatt.edu/,College,WI,Platteville,14,79,1,6,8,,,,The University of Wisconsin-Platteville is committed to being the top university in Wisconsin and beyond. Click here to learn more about us.
University of Wisconsin-River Falls,https://www.uwrf.edu/,College,WI,River Falls,19,195,1,6,5,,,,
University of Wisconsin-Stevens Point,https://www.uwsp.edu/,College,WI,Stevens Point,21,188,0,7,13,,,,UW-Stevens Point empowers students to discover their purpose at a price that is affordable. Take the next steps to apply today.
University of Wisconsin-Stout,https://www.uwstout.edu/,College,WI,Menomonie,14,224,5,3,9,,,,
Washtenaw Community College,https://www.wccnet.edu/,College,MI,Ann Arbor,21,87,2,11,21,,,,
Waukesha County Technical College,https://www.wctc.edu/,College,WI,Waukesha,22,201,1,2,7,,,,
Wayne State University,https://wayne.edu/,College,MI,Detroit,30,99,1,2,1,,,,
Western Illinois University,https://www.wiu.edu/,College,IL,Macomb,20,129,1,13,8,,,,Western Illinois University students have the advantages of large universities - accomplished faculty; modern technologies and facilities; and broad academic and extracurricular opportunities. We give you the extras that larger public universities can't - personalized attention from our faculty and staff.
Western Iowa Tech Community College,https://www.witcc.edu/,College,IA,Sioux City,5,130,1,12,15,,,,
Western Michigan University,https://wmich.edu/,College,MI,Kalamazoo,14,82,2,5,7,,,,Western Michigan University is about more than book smarts. It’s about your potential and your pursuit of purpose.
Western Technical College,https://www.westerntc.edu/,College,WI,La Crosse,24,269,2,10,9,,,,"Western Technical College in La Crosse, WI offers the affordable path to a great career. Our programs provide the skills and experience needed in the workforce today through hands-on education with flexible learning options."
Winona State University,https://www.winona.edu/,College,MN,Winona,10,189,3,5,3,,,,
